Dish,Calorie_per_100g,Carbohydrate_per_100g,Protein_per_100g,Fat_per_100g,Source
Papad,371,59.87,25.56,3.25,https://www.fatsecret.co.in/calories-nutrition/generic/papad?portionid=63356&portionamount=100.000
Vada,282,40.97,10.59,8.64,https://www.fatsecret.co.in/calories-nutrition/generic/vada
Samosa,308,32.21,4.67,17.86,https://www.fatsecret.co.in/calories-nutrition/generic/pastry-filled-with-potatoes-and-peas-(fried)?portionamount=100.000&portionid=53636&utm
Barfi,285,38.82,6.83,12.1,https://www.fatsecret.co.in/calories-nutrition/generic/barfi-or-burfi-indian-dessert-%28made-from-milk-or-cream-or-ricotta-cheese%29?portionamount=100.000&portionid=49913&utm
Fishcurry,100,1.9,12.4,4.59,https://www.fatsecret.co.in/calories-nutrition/generic/fish-curry?portionid=5406867&portionamount=100.000
Kachori,270,35.69,9.84,10.01,https://www.fatsecret.co.in/calories-nutrition/generic/kachori?portionid=5613275&portionamount=100.000
Vadapav,217,28.69,6.55,8.51,https://foods.fatsecret.com/calories-nutrition/generic/vada-pav?portionid=16763051&portionamount=100.000
Rasmalai,187,18,7.2,9.6,https://www.fatsecret.co.in/calories-nutrition/amul/rasmalai/100g
Chicken Kabab,151,19.83,9.09,3.67,https://www.fatsecret.co.in/calories-nutrition/generic/chicken-kebab?portionamount=100.000&portionid=5164507&utm
Rasam,19,2.82,0.39,0.88,https://www.fatsecret.co.in/calories-nutrition/generic/rasam?portionid=7168139&portionamount=100.000
Gatte Ki Sabzi,110,14.62,8,5.4,https://www.fatsecret.co.in/calories-nutrition/generic/gatte-ki-sabzi?portionid=35472970&portionamount=100.000
Kadhi Pakora,230,16.82,6.45,5.11,https://www.fatsecret.co.in/calories-nutrition/generic/kadhi-pakora?portionid=53630958&portionamount=100.000
Ghewar,76,13.24,1.04,2.09,https://www.fatsecret.co.in/calories-nutrition/generic/ghewar
Aloomatter,98,16.48,3.29,2.96,https://www.fatsecret.co.in/calories-nutrition/generic/aloo-matar?portionid=8891398&portionamount=100.000
Prawns,105,0.9,20.14,1.72,https://foods.fatsecret.com/calories-nutrition/generic/prawns?portionid=320904&portionamount=100.000
Whole Wheat Sandwich Bread,245,49,9.5,0.6,https://www.fatsecret.co.in/calories-nutrition/moreish/whole-wheat-sandwich-bread/100g
Dahipuri,204,18.5,3.4,13.26,https://www.fatsecret.co.in/calories-nutrition/generic/dahi-puri?portionid=61059711&portionamount=100.000
Haleem,157,15.2,9.77,6.86,https://foods.fatsecret.com/calories-nutrition/generic/haleem?portionid=21956918&portionamount=100.000
Aloogobi,86,13.62,2.29,3.51,https://www.fatsecret.co.in/calories-nutrition/generic/aloo-gobi?portionid=5772077&portionamount=100.000
Eggbhurji,82,6.33,3.75,5.02,https://www.fatsecret.co.in/calories-nutrition/generic/egg-bhurji?portionid=17042606&portionamount=100.000
Lemon rice,146,31.48,3,0.55,https://www.fatsecret.co.in/calories-nutrition/generic/lemon-rice
Bhindimasala,112,13.51,2.99,6.4,https://www.fatsecret.co.in/calories-nutrition/generic/bhindi-masala
Matar Mushroom,71,10.35,3.36,2.67,https://www.fatsecret.co.in/calories-nutrition/generic/matar-mushroom?portionid=62405181&portionamount=100.000
Gajar Halwa,175,30.48,4.07,5,https://www.fatsecret.co.in/calories-nutrition/generic/gajar-halwa?portionid=6724565&portionamount=100.000
Chicken Tikka,150,7.62,22.52,3.02,https://www.fatsecret.co.in/calories-nutrition/generic/chicken-tikka?portionid=5866731&portionamount=100.000
Tandoorichicken,103,7.8,11.71,2.75,https://www.fatsecret.co.za/calories-nutrition/generic/tandoori-chicken
Lauki Sabzi,61,7.61,1.68,3.5,https://www.fatsecret.co.in/calories-nutrition/generic/lauki-sabzi?portionid=35885349&portionamount=100.000
Baingan Bharta,97,12.57,1.69,5.28,https://www.fatsecret.co.in/calories-nutrition/generic/baingan-bharta?portionid=6009570&portionamount=100.000
boondi,584,39.55,13.75,41.17,https://www.fatsecret.co.in/calories-nutrition/haldirams/boondi/100g
tilkut,238,30.16,4.43,12.38,https://www.fatsecret.com.sg/calories-nutrition/generic/tilkut
Basundi,192,18,5.3,11,https://www.fatsecret.co.in/calories-nutrition/amul/basundi/100g
kothimbirvadi,90,14.32,4.11,2.24,https://www.fatsecret.co.in/calories-nutrition/generic/kothimbir-vadi?portionid=52275805&portionamount=100.000
sabudanakhichdi,199,30.1,2.72,7.91,https://www.fatsecret.co.in/calories-nutrition/generic/sabudana-khichdi
Chettinad chicken,180,7.19,16.22,10,https://www.fatsecret.co.in/calories-nutrition/generic/chicken-chettinad
Chikki,483,53.56,14,26.8,https://www.fatsecret.co.in/calories-nutrition/generic/chikki?portionid=7168197&portionamount=100.000
avial,108,14.11,1.83,5.78,https://www.fatsecret.co.in/calories-nutrition/generic/avial
patishapta,234,42.56,8.73,4.26,https://www.fatsecret.co.uk/calories-nutrition/generic/patishapta?portionid=57423198&portionamount=100.000
imarti,226,31.71,3.14,10.6,https://www.fatsecret.co.nz/calories-nutrition/generic/imarti?portionid=53557016&portionamount=100.000
Jalebi,300,62.36,4.19,4.31,https://foods.fatsecret.com/calories-nutrition/generic/jalebi?portionamount=100.000&portionid=16477981